B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
3400,198,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,23,24,437,119,75,59,104,48,543,109,283,71,1214,187,554,117,70,36,77,46,1400000US08013060900,"Census Tract 609, Boulder County, Colorado"
2037,103,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,9,13,10,11,101,48,16,18,50,31,68,33,66,29,930,93,523,83,86,37,169,50,1400000US08013061300,"Census Tract 613, Boulder County, Colorado"
2510,160,28,44,0,12,0,12,0,12,0,12,10,16,0,12,0,12,15,24,0,12,0,12,0,12,0,12,0,12,26,26,119,63,0,12,28,28,252,91,118,53,1038,174,616,119,136,88,124,57,1400000US08013061400,"Census Tract 614, Boulder County, Colorado"
2511,178,13,20,0,12,0,12,0,12,0,12,0,12,8,12,0,12,3,15,0,12,0,12,0,12,15,23,3,23,19,17,359,124,140,69,151,73,361,119,278,118,856,148,275,106,14,15,16,18,1400000US08014030000,"Census Tract 300, Broomfield County, Colorado"
1615,119,5,8,0,12,6,9,0,12,0,12,0,12,0,12,6,11,15,18,0,12,20,24,15,23,21,25,0,12,12,12,359,102,37,21,110,49,247,69,129,54,486,111,121,50,15,16,11,17,1400000US08014030100,"Census Tract 301, Broomfield County, Colorado"
1478,105,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,14,15,17,17,207,64,54,37,34,20,210,60,123,52,555,90,200,59,9,11,41,23,1400000US08014030200,"Census Tract 302, Broomfield County, Colorado"
2854,258,0,12,0,12,0,12,0,12,5,12,0,12,0,12,0,12,26,34,11,24,22,23,14,18,0,12,30,48,44,39,691,175,112,77,143,60,538,132,244,99,713,177,181,76,25,22,55,40,1400000US08014030300,"Census Tract 303, Broomfield County, Colorado"
2609,123,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,7,12,0,12,18,28,0,12,27,29,232,83,100,73,125,56,414,101,271,87,872,117,397,118,92,48,46,44,1400000US08014030400,"Census Tract 304, Broomfield County, Colorado"
3911,178,34,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,15,0,17,0,17,0,17,377,129,43,35,178,63,380,94,377,132,1472,213,715,164,84,63,243,148,1400000US08014030500,"Census Tract 305, Broomfield County, Colorado"
4156,240,18,34,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,47,17,27,183,153,35,39,33,39,88,98,553,166,70,41,187,116,898,254,547,188,1056,279,367,144,47,43,28,31,1400000US08014030600,"Census Tract 306, Broomfield County, Colorado"
2074,123,21,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,24,365,101,94,58,114,82,351,105,193,71,493,115,363,96,27,25,29,27,1400000US08014030700,"Census Tract 307, Broomfield County, Colorado"
3576,184,9,14,0,17,0,17,0,17,0,17,0,17,0,17,0,17,66,87,0,17,8,12,0,17,14,23,7,11,49,49,639,148,82,59,229,92,399,106,311,91,1128,143,453,118,135,68,47,38,1400000US08014030800,"Census Tract 308, Broomfield County, Colorado"
3970,209,0,17,0,17,0,17,0,17,0,17,7,18,0,17,0,17,0,17,0,17,13,22,7,18,17,30,12,18,0,17,444,129,29,33,82,64,438,136,319,103,1431,270,971,209,113,81,87,59,1400000US08014030900,"Census Tract 309, Broomfield County, Colorado"
3816,184,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,25,358,113,25,27,189,87,372,140,298,101,1577,206,825,141,127,73,29,27,1400000US08014031000,"Census Tract 310, Broomfield County, Colorado"
4736,351,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,14,34,34,9,14,393,169,43,51,177,86,743,220,452,182,1808,229,784,183,119,99,154,114,1400000US08014031100,"Census Tract 311, Broomfield County, Colorado"
3710,239,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,52,0,12,16,25,0,12,0,12,13,15,22,25,313,118,39,30,153,69,479,127,302,94,1512,238,640,158,95,52,64,51,1400000US08014031200,"Census Tract 312, Broomfield County, Colorado"
1649,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,21,21,90,36,10,10,70,34,147,53,86,43,697,99,344,87,109,41,70,36,1400000US08014031300,"Census Tract 313, Broomfield County, Colorado"
4327,286,17,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,14,0,17,0,17,8,12,70,60,434,161,101,108,94,44,282,104,337,112,1550,177,1012,159,259,84,154,49,1400000US08014031400,"Census Tract 314, Broomfield County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08014980100,"Census Tract 9801, Broomfield County, Colorado"
