GEO_ID,NAME,B01003_001E,B01003_001M
1400000US08013061400,"Census Tract 614, Boulder County, Colorado",3995,235
1400000US08014030000,"Census Tract 300, Broomfield County, Colorado",3579,234
1400000US08014030100,"Census Tract 301, Broomfield County, Colorado",2271,153
1400000US08014030200,"Census Tract 302, Broomfield County, Colorado",2052,144
1400000US08014030300,"Census Tract 303, Broomfield County, Colorado",3922,293
1400000US08014030400,"Census Tract 304, Broomfield County, Colorado",3998,272
1400000US08014030500,"Census Tract 305, Broomfield County, Colorado",5836,328
1400000US08014030600,"Census Tract 306, Broomfield County, Colorado",6027,372
1400000US08014030700,"Census Tract 307, Broomfield County, Colorado",2941,185
1400000US08014030800,"Census Tract 308, Broomfield County, Colorado",5958,311
1400000US08014030900,"Census Tract 309, Broomfield County, Colorado",5423,312
1400000US08014031000,"Census Tract 310, Broomfield County, Colorado",5731,245
1400000US08014031100,"Census Tract 311, Broomfield County, Colorado",6385,415
1400000US08014031200,"Census Tract 312, Broomfield County, Colorado",4872,356
1400000US08014031300,"Census Tract 313, Broomfield County, Colorado",2574,139
1400000US08014031400,"Census Tract 314, Broomfield County, Colorado",6317,388
1400000US08014980100,"Census Tract 9801, Broomfield County, Colorado",0,12
1400000US08014980200,"Census Tract 9802, Broomfield County, Colorado",0,12
1400000US08014980300,"Census Tract 9803, Broomfield County, Colorado",0,12
1400000US08015000100,"Census Tract 1, Chaffee County, Colorado",2768,344
1400000US08015000200,"Census Tract 2, Chaffee County, Colorado",4607,386
1400000US08015000300,"Census Tract 3, Chaffee County, Colorado",3118,364
1400000US08015000401,"Census Tract 4.01, Chaffee County, Colorado",4954,435
1400000US08015000402,"Census Tract 4.02, Chaffee County, Colorado",4110,438
1400000US08017960600,"Census Tract 9606, Cheyenne County, Colorado",2026,186
1400000US08019014700,"Census Tract 147, Clear Creek County, Colorado",5277,256
1400000US08019014800,"Census Tract 148, Clear Creek County, Colorado",1685,215
1400000US08019014900,"Census Tract 149, Clear Creek County, Colorado",2533,239
1400000US08021974800,"Census Tract 9748, Conejos County, Colorado",3762,229
1400000US08021974900,"Census Tract 9749, Conejos County, Colorado",4366,229
1400000US08023972600,"Census Tract 9726, Costilla County, Colorado",2061,199
1400000US08023972700,"Census Tract 9727, Costilla County, Colorado",1684,199
1400000US08025969600,"Census Tract 9696, Crowley County, Colorado",5754,*****
1400000US08027970100,"Census Tract 9701, Custer County, Colorado",4776,*****
1400000US08029964600,"Census Tract 9646, Delta County, Colorado",3407,352
1400000US08029964700,"Census Tract 9647, Delta County, Colorado",4175,283
1400000US08029964800,"Census Tract 9648, Delta County, Colorado",4117,439
1400000US08029964900,"Census Tract 9649, Delta County, Colorado",5849,469
1400000US08029965000,"Census Tract 9650, Delta County, Colorado",4497,542
1400000US08029965100,"Census Tract 9651, Delta County, Colorado",3970,374
1400000US08029965200,"Census Tract 9652, Delta County, Colorado",4550,404
1400000US08031000102,"Census Tract 1.02, Denver County, Colorado",3491,245
1400000US08031000201,"Census Tract 2.01, Denver County, Colorado",3820,414
1400000US08031000202,"Census Tract 2.02, Denver County, Colorado",4006,351
1400000US08031000301,"Census Tract 3.01, Denver County, Colorado",5869,498
1400000US08031000302,"Census Tract 3.02, Denver County, Colorado",4587,383
1400000US08031000303,"Census Tract 3.03, Denver County, Colorado",4665,564
1400000US08031000401,"Census Tract 4.01, Denver County, Colorado",3601,389
1400000US08031000402,"Census Tract 4.02, Denver County, Colorado",5750,398
1400000US08031000501,"Census Tract 5.01, Denver County, Colorado",2183,170
1400000US08031000502,"Census Tract 5.02, Denver County, Colorado",6006,363
1400000US08031000600,"Census Tract 6, Denver County, Colorado",3490,388
1400000US08031000701,"Census Tract 7.01, Denver County, Colorado",4516,512
1400000US08031000702,"Census Tract 7.02, Denver County, Colorado",4799,608
1400000US08031000800,"Census Tract 8, Denver County, Colorado",1437,247
1400000US08031000902,"Census Tract 9.02, Denver County, Colorado",6145,532
1400000US08031000903,"Census Tract 9.03, Denver County, Colorado",6021,550
1400000US08031000904,"Census Tract 9.04, Denver County, Colorado",5583,467
1400000US08031000905,"Census Tract 9.05, Denver County, Colorado",4263,304
1400000US08031001000,"Census Tract 10, Denver County, Colorado",4803,459
1400000US08031001101,"Census Tract 11.01, Denver County, Colorado",2484,290
1400000US08031001102,"Census Tract 11.02, Denver County, Colorado",4799,607
1400000US08031001301,"Census Tract 13.01, Denver County, Colorado",5259,437
1400000US08031001302,"Census Tract 13.02, Denver County, Colorado",3974,360
1400000US08031001401,"Census Tract 14.01, Denver County, Colorado",6401,494
