geoid,name,B01003001,"B01003001, Error"
14000US08031004006,"Census Tract 40.06, Denver, CO",4887,599
14000US08031004101,"Census Tract 41.01, Denver, CO",4600,554
14000US08031004102,"Census Tract 41.02, Denver, CO",5276,874
14000US08031004103,"Census Tract 41.03, Denver, CO",6526,1278
14000US08031004104,"Census Tract 41.04, Denver, CO",5174,611
14000US08031004201,"Census Tract 42.01, Denver, CO",4844,489
14000US08031004202,"Census Tract 42.02, Denver, CO",4649,552
14000US08031004302,"Census Tract 43.02, Denver, CO",3023,687
14000US08031004303,"Census Tract 43.03, Denver, CO",4003,411
14000US08031004306,"Census Tract 43.06, Denver, CO",4792,449
14000US08031004403,"Census Tract 44.03, Denver, CO",4397,581
14000US08031004404,"Census Tract 44.04, Denver, CO",6045,592
14000US08031004503,"Census Tract 45.03, Denver, CO",5096,1078
14000US08031004504,"Census Tract 45.04, Denver, CO",4535,664
14000US08031004505,"Census Tract 45.05, Denver, CO",5088,785
14000US08031004506,"Census Tract 45.06, Denver, CO",3685,412
14000US08031004601,"Census Tract 46.01, Denver, CO",6885,1051
14000US08031004602,"Census Tract 46.02, Denver, CO",7185,910
14000US08031004603,"Census Tract 46.03, Denver, CO",6037,720
14000US08031004700,"Census Tract 47, Denver, CO",7424,1018
14000US08031004801,"Census Tract 48.01, Denver, CO",3825,578
14000US08031005001,"Census Tract 50.01, Denver, CO",2649,279
14000US08031005102,"Census Tract 51.02, Denver, CO",3738,456
14000US08031005104,"Census Tract 51.04, Denver, CO",3929,574
14000US08031005200,"Census Tract 52, Denver, CO",3643,533
14000US08031005300,"Census Tract 53, Denver, CO",1718,296
14000US08031005502,"Census Tract 55.02, Denver, CO",2052,308
14000US08031005503,"Census Tract 55.03, Denver, CO",5279,750
14000US08031006701,"Census Tract 67.01, Denver, CO",4141,431
14000US08031006804,"Census Tract 68.04, Denver, CO",3068,289
14000US08031006810,"Census Tract 68.10, Denver, CO",6315,867
14000US08031006812,"Census Tract 68.12, Denver, CO",4185,702
14000US08031006813,"Census Tract 68.13, Denver, CO",4433,904
14000US08031006814,"Census Tract 68.14, Denver, CO",4970,755
14000US08031007006,"Census Tract 70.06, Denver, CO",4250,776
14000US08031007013,"Census Tract 70.13, Denver, CO",4333,810
14000US08031007037,"Census Tract 70.37, Denver, CO",4643,1030
14000US08031007088,"Census Tract 70.88, Denver, CO",5230,804
14000US08031008304,"Census Tract 83.04, Denver, CO",4098,934
14000US08031008305,"Census Tract 83.05, Denver, CO",5741,1210
14000US08031008306,"Census Tract 83.06, Denver, CO",7097,1056
14000US08031008312,"Census Tract 83.12, Denver, CO",7484,874
14000US08031008386,"Census Tract 83.86, Denver, CO",4873,587
14000US08031008387,"Census Tract 83.87, Denver, CO",7329,1005
14000US08031008388,"Census Tract 83.88, Denver, CO",11421,1525
14000US08031008389,"Census Tract 83.89, Denver, CO",14014,2377
14000US08031008390,"Census Tract 83.90, Denver, CO",9402,1182
14000US08031008391,"Census Tract 83.91, Denver, CO",7305,960
14000US08031011902,"Census Tract 119.02, Denver, CO",6144,1116
14000US08031011903,"Census Tract 119.03, Denver, CO",2600,316
14000US08031012001,"Census Tract 120.01, Denver, CO",2123,332
14000US08031012010,"Census Tract 120.10, Denver, CO",5505,748
14000US08031015300,"Census Tract 153, Denver, CO",3973,622
14000US08031015400,"Census Tract 154, Denver, CO",5399,745
14000US08031015500,"Census Tract 155, Denver, CO",3421,401
14000US08031015600,"Census Tract 156, Denver, CO",8737,1353
14000US08031015700,"Census Tract 157, Denver, CO",6087,1068
14000US08031980100,"Census Tract 9801, Denver, CO",0,12
14000US08033000100,"Census Tract 1, Dolores, CO",1896,215
14000US08035013904,"Census Tract 139.04, Douglas, CO",4280,543
14000US08035013905,"Census Tract 139.05, Douglas, CO",4485,455
14000US08035013907,"Census Tract 139.07, Douglas, CO",5868,687
14000US08035013909,"Census Tract 139.09, Douglas, CO",5928,774
14000US08035013910,"Census Tract 139.10, Douglas, CO",7732,768
14000US08035013911,"Census Tract 139.11, Douglas, CO",7774,1116
