B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,NAME
2595,346,805,184,716,168,3,5,26,23,17,20,0,12,3,5,40,34,0,12,40,34,1790,373,1554,370,0,12,39,62,0,12,0,12,146,112,51,55,18,15,33,53,1400000US08001009319,"Census Tract 93.19, Adams County, Colorado"
2643,373,1106,279,1001,286,23,28,0,12,24,28,0,12,8,13,50,59,0,12,50,59,1537,388,1269,370,0,12,0,12,0,12,0,12,85,58,183,189,33,43,150,181,1400000US08001009320,"Census Tract 93.20, Adams County, Colorado"
4031,446,1854,308,1441,285,105,105,20,37,265,176,0,12,0,12,23,27,0,12,23,27,2177,504,1693,552,5,9,28,37,83,121,0,12,208,136,160,255,0,12,160,255,1400000US08001009321,"Census Tract 93.21, Adams County, Colorado"
5296,584,2383,420,1875,394,199,160,10,16,186,120,0,17,0,17,113,109,0,17,113,109,2913,635,2502,678,24,37,0,17,0,17,0,17,190,144,197,161,138,131,59,96,1400000US08001009322,"Census Tract 93.22, Adams County, Colorado"
3837,335,2335,281,1820,236,155,103,0,12,203,162,0,12,0,12,157,94,8,13,149,94,1502,244,1262,247,10,15,45,72,0,12,0,12,71,54,114,90,48,53,66,74,1400000US08001009323,"Census Tract 93.23, Adams County, Colorado"
5515,521,4847,517,4417,543,110,90,49,60,137,88,0,17,0,17,134,75,0,17,134,75,668,320,576,316,0,17,0,17,0,17,0,17,27,43,65,77,29,48,36,56,1400000US08001009325,"Census Tract 93.25, Adams County, Colorado"
2817,167,2290,158,1734,206,49,41,0,12,462,257,23,40,0,12,22,26,0,12,22,26,527,109,449,108,13,22,0,12,0,12,0,12,32,43,33,29,24,26,9,14,1400000US08001009326,"Census Tract 93.26, Adams County, Colorado"
4435,350,2786,271,2412,315,77,69,8,12,192,139,0,12,15,27,82,80,0,12,82,80,1649,345,1453,405,0,12,57,104,13,20,0,12,24,28,102,98,0,12,102,98,1400000US08001009327,"Census Tract 93.27, Adams County, Colorado"
5406,333,3178,282,2691,278,23,25,0,17,419,96,6,10,0,17,39,43,0,17,39,43,2228,330,1849,332,0,17,0,17,13,19,0,17,245,172,121,101,105,97,16,24,1400000US08001009401,"Census Tract 94.01, Adams County, Colorado"
4586,379,3071,383,2412,381,89,63,0,12,415,291,0,12,16,22,139,96,0,12,139,96,1515,244,1263,212,28,43,0,12,0,12,0,12,55,48,169,183,28,36,141,179,1400000US08001009406,"Census Tract 94.06, Adams County, Colorado"
5133,407,3246,342,2689,355,53,45,26,38,192,119,13,18,0,17,273,157,0,17,273,157,1887,452,1667,477,0,17,13,21,0,17,0,17,207,210,0,17,0,17,0,17,1400000US08001009407,"Census Tract 94.07, Adams County, Colorado"
4754,276,4294,331,3771,297,11,19,0,12,396,152,0,12,0,12,116,77,0,12,116,77,460,177,409,166,0,12,18,23,0,12,0,12,33,33,0,12,0,12,0,12,1400000US08001009408,"Census Tract 94.08, Adams County, Colorado"
5473,428,5104,350,4789,245,212,275,0,17,103,106,0,17,0,17,0,17,0,17,0,17,369,228,181,73,21,37,103,196,0,17,0,17,51,65,13,20,13,20,0,17,1400000US08001009409,"Census Tract 94.09, Adams County, Colorado"
3064,248,2620,209,2393,211,40,28,0,12,153,125,18,27,11,19,5,11,0,12,5,11,444,149,413,154,0,12,0,12,0,12,0,12,31,36,0,12,0,12,0,12,1400000US08001009410,"Census Tract 94.10, Adams County, Colorado"
2974,187,2417,175,2227,150,23,36,5,9,62,52,0,12,0,12,100,71,0,12,100,71,557,146,489,166,0,12,0,12,0,12,0,12,68,89,0,12,0,12,0,12,1400000US08001009411,"Census Tract 94.11, Adams County, Colorado"
3234,255,1331,126,1233,144,52,54,16,26,0,12,0,12,0,12,30,32,0,12,30,32,1903,258,1453,354,12,19,88,136,6,11,0,12,193,205,151,169,62,81,89,148,1400000US08001009501,"Census Tract 95.01, Adams County, Colorado"
4977,448,2082,276,1779,243,81,82,24,40,148,96,0,12,0,12,50,60,0,12,50,60,2895,409,2463,456,0,12,95,168,87,97,0,12,187,137,63,90,10,21,53,87,1400000US08001009502,"Census Tract 95.02, Adams County, Colorado"
3760,320,1359,213,1150,235,83,109,37,36,18,21,26,37,12,19,33,33,0,12,33,33,2401,388,1972,425,0,12,0,12,0,12,0,12,52,56,377,319,0,12,377,319,1400000US08001009553,"Census Tract 95.53, Adams County, Colorado"
6273,544,4067,423,3607,384,158,119,0,17,102,120,0,17,11,19,189,123,0,17,189,123,2206,572,1379,534,0,17,85,86,0,17,0,17,468,419,274,366,55,72,219,358,1400000US08001009603,"Census Tract 96.03, Adams County, Colorado"
4499,361,2664,332,1986,289,246,203,102,144,247,173,0,12,0,12,83,56,0,12,83,56,1835,391,1360,389,0,12,31,29,0,12,0,12,344,188,100,72,61,55,39,46,1400000US08001009604,"Census Tract 96.04, Adams County, Colorado"
2758,453,995,254,795,271,37,42,13,17,59,86,0,12,75,107,16,27,0,12,16,27,1763,472,1564,477,0,12,53,62,0,12,0,12,146,105,0,12,0,12,0,12,1400000US08001009606,"Census Tract 96.06, Adams County, Colorado"
4796,455,2731,323,2109,268,131,116,72,61,357,164,0,12,17,29,45,40,0,12,45,40,2065,371,1763,361,10,16,74,66,0,12,0,12,85,73,133,112,15,19,118,113,1400000US08001009607,"Census Tract 96.07, Adams County, Colorado"
3225,26,2248,196,1877,221,3,6,41,62,240,163,0,12,0,12,87,79,0,12,87,79,977,193,704,187,0,12,70,84,0,12,0,12,180,151,23,29,15,26,8,13,1400000US08001009608,"Census Tract 96.08, Adams County, Colorado"
3944,408,1942,293,1687,287,147,138,16,24,60,74,15,26,2,5,15,22,0,12,15,22,2002,382,1755,437,2,5,0,12,0,12,0,12,220,235,25,26,0,12,25,26,1400000US08001009751,"Census Tract 97.51, Adams County, Colorado"
3257,355,1145,171,986,191,102,82,0,12,41,68,0,12,4,7,12,20,0,12,12,20,2112,397,1847,431,8,14,0,12,0,12,0,12,128,68,129,113,51,68,78,96,1400000US08001009752,"Census Tract 97.52, Adams County, Colorado"
2984,316,1337,207,1237,203,7,12,46,66,0,12,0,12,0,12,47,39,0,12,47,39,1647,292,993,425,0,12,4,19,0,12,0,12,366,259,284,288,10,16,274,288,1400000US08001015000,"Census Tract 150, Adams County, Colorado"
6338,420,5573,353,4870,322,104,109,30,23,413,105,0,17,0,17,156,169,0,17,156,169,765,334,715,334,0,17,20,22,0,17,0,17,16,25,14,17,14,17,0,17,1400000US08001060000,"Census Tract 600, Adams County, Colorado"
7879,434,5764,503,4825,552,76,66,16,24,586,410,0,17,0,17,261,177,98,152,163,92,2115,358,1841,381,0,17,16,25,0,17,0,17,200,185,58,73,47,71,11,18,1400000US08001060100,"Census Tract 601, Adams County, Colorado"
4157,358,3236,342,2800,356,233,146,0,12,105,123,13,21,0,12,85,60,0,12,85,60,921,232,771,197,0,12,0,12,0,12,0,12,66,81,84,103,0,12,84,103,1400000US08001060200,"Census Tract 602, Adams County, Colorado"
2795,210,2364,247,2104,299,10,15,0,12,231,114,0,12,0,12,19,17,0,12,19,17,431,124,294,164,8,12,11,18,0,12,0,12,18,19,100,96,51,59,49,61,1400000US08001061200,"Census Tract 612, Adams County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08001988700,"Census Tract 9887, Adams County, Colorado"
1868,233,1391,231,1229,214,22,33,42,61,7,10,0,12,51,67,40,30,0,12,40,30,477,127,419,124,6,10,23,24,0,12,0,12,14,16,15,16,7,8,8,13,1400000US08003960000,"Census Tract 9600, Alamosa County, Colorado"
2621,294,1862,242,1803,241,0,12,29,30,0,12,0,12,0,12,30,33,7,12,23,30,759,194,492,162,0,12,70,71,8,15,0,12,106,55,83,75,47,62,36,38,1400000US08003960100,"Census Tract 9601, Alamosa County, Colorado"
6163,414,3425,322,3101,323,19,25,0,17,109,67,59,67,0,17,137,91,34,31,103,87,2738,449,2302,385,6,13,36,42,49,60,0,17,345,298,0,17,0,17,0,17,1400000US08003960200,"Census Tract 9602, Alamosa County, Colorado"
5455,562,1896,291,1539,290,38,36,237,159,40,47,0,17,15,22,27,37,0,17,27,37,3559,506,3033,505,53,85,97,84,0,17,15,22,252,152,109,77,23,32,86,74,1400000US08003960300,"Census Tract 9603, Alamosa County, Colorado"
1984,172,1844,176,1382,246,250,194,13,21,132,112,25,41,0,12,42,63,0,12,42,63,140,92,45,39,0,12,0,12,0,12,0,12,95,84,0,12,0,12,0,12,1400000US08005004951,"Census Tract 49.51, Arapahoe County, Colorado"
3193,168,2335,198,1928,215,114,81,0,12,119,69,36,46,0,12,138,101,0,12,138,101,858,221,436,179,0,12,0,12,14,22,0,12,339,205,69,86,11,18,58,84,1400000US08005004952,"Census Tract 49.52, Arapahoe County, Colorado"
2951,369,1599,239,1287,190,121,100,0,12,38,62,0,12,0,12,153,139,0,12,153,139,1352,375,671,274,0,12,52,80,0,12,0,12,514,247,115,123,90,121,25,31,1400000US08005005551,"Census Tract 55.51, Arapahoe County, Colorado"
